distance_bin,distance_min,distance_max,pair_count,metric,low_count,low_unique_count,high_count,source_anchor_count,low_coview_mean,high_coview_mean,low_distance_mean,high_distance_mean,mean_absolute_distance_mismatch,low_metric_mean,high_metric_mean,high_minus_low
2,0.09380853072031142,0.10954484232219874,26718,scaling_l2,26718,15219,26718,7844,0.9444960355758667,0.9931521415710449,0.10250373368758428,0.10234206906228617,0.0015778034296055046,0.07803775370121002,0.07768521457910538,-0.0003525391221046448
2,0.09380853072031142,0.10954484232219874,26718,offset_l2,26718,15219,26718,7844,0.9444960355758667,0.9931521415710449,0.10250373368758428,0.10234206906228617,0.0015778034296055046,10.075346946716309,10.11089038848877,0.03554344177246094
3,0.10954484232219874,0.1242980063128177,26718,feature_cosine,26718,15738,26718,8484,0.9412532448768616,0.9920521378517151,0.11732951029163503,0.11720271165056614,0.001573779641679552,0.3159487843513489,0.30923670530319214,-0.006712079048156738
3,0.10954484232219874,0.1242980063128177,26718,feature_l2,26718,15738,26718,8484,0.9412532448768616,0.9920521378517151,0.11732951029163503,0.11720271165056614,0.001573779641679552,11.113459587097168,11.195430755615234,0.0819711685180664
3,0.10954484232219874,0.1242980063128177,26718,scaling_l2,26718,15738,26718,8484,0.9412532448768616,0.9920521378517151,0.11732951029163503,0.11720271165056614,0.001573779641679552,0.08515791594982147,0.08392476290464401,-0.0012331530451774597
3,0.10954484232219874,0.1242980063128177,26718,offset_l2,26718,15738,26718,8484,0.9412532448768616,0.9920521378517151,0.11732951029163503,0.11720271165056614,0.001573779641679552,10.017599105834961,10.109965324401855,0.09236621856689453
4,0.1242980063128177,0.1399999942098397,26716,feature_cosine,26716,16196,26716,8709,0.9378960728645325,0.9913201332092285,0.13206841333532987,0.1319887375863159,0.0015623287831364593,0.30514562129974365,0.30252474546432495,-0.002620875835418701
4,0.1242980063128177,0.1399999942098397,26716,feature_l2,26716,16196,26716,8709,0.9378960728645325,0.9913201332092285,0.13206841333532987,0.1319887375863159,0.0015623287831364593,11.068792343139648,11.1414213180542,0.07262897491455078
4,0.1242980063128177,0.1399999942098397,26716,scaling_l2,26716,16196,26716,8709,0.9378960728645325,0.9913201332092285,0.13206841333532987,0.1319887375863159,0.0015623287831364593,0.09294349700212479,0.08960715681314468,-0.0033363401889801025
4,0.1242980063128177,0.1399999942098397,26716,offset_l2,26716,16196,26716,8709,0.9378960728645325,0.9913201332092285,0.13206841333532987,0.1319887375863159,0.0015623287831364593,10.163071632385254,10.142779350280762,-0.020292282104492188
5,0.1399999942098397,0.1574802192498213,26725,feature_cosine,26725,16629,26725,8489,0.9332736730575562,0.9899405241012573,0.14831125779093435,0.1482515473051207,0.0015210956574988942,0.30908241868019104,0.3069824278354645,-0.0020999908447265625
5,0.1399999942098397,0.1574802192498213,26725,feature_l2,26725,16629,26725,8489,0.9332736730575562,0.9899405241012573,0.14831125779093435,0.1482515473051207,0.0015210956574988942,10.988053321838379,11.043088912963867,0.05503559112548828
5,0.1399999942098397,0.1574802192498213,26725,scaling_l2,26725,16629,26725,8489,0.9332736730575562,0.9899405241012573,0.14831125779093435,0.1482515473051207,0.0015210956574988942,0.10357403755187988,0.10000678896903992,-0.003567248582839966
5,0.1399999942098397,0.1574802192498213,26725,offset_l2,26725,16629,26725,8489,0.9332736730575562,0.9899405241012573,0.14831125779093435,0.1482515473051207,0.0015210956574988942,10.238512992858887,10.278946876525879,0.04043388366699219
6,0.1574802192498213,0.1799998813205612,26704,feature_cosine,26704,16797,26704,8243,0.9255947470664978,0.9878574013710022,0.16838233665929883,0.1683154408862723,0.0015396347731817179,0.314391165971756,0.3125154376029968,-0.0018757283687591553
6,0.1574802192498213,0.1799998813205612,26704,feature_l2,26704,16797,26704,8243,0.9255947470664978,0.9878574013710022,0.16838233665929883,0.1683154408862723,0.0015396347731817179,10.752385139465332,10.76296615600586,0.010581016540527344
6,0.1574802192498213,0.1799998813205612,26704,scaling_l2,26704,16797,26704,8243,0.9255947470664978,0.9878574013710022,0.16838233665929883,0.1683154408862723,0.0015396347731817179,0.12202629446983337,0.11962894350290298,-0.0023973509669303894
6,0.1574802192498213,0.1799998813205612,26704,offset_l2,26704,16797,26704,8243,0.9255947470664978,0.9878574013710022,0.16838233665929883,0.1683154408862723,0.0015396347731817179,10.306997299194336,10.329402923583984,0.022405624389648438
7,0.1799998813205612,0.212661846235873,26743,feature_cosine,26743,17229,26743,7482,0.917574942111969,0.9857974052429199,0.19473692424550687,0.19472517876620782,0.0015602034220605634,0.32103779911994934,0.31807616353034973,-0.0029616355895996094
7,0.1799998813205612,0.212661846235873,26743,feature_l2,26743,17229,26743,7482,0.917574942111969,0.9857974052429199,0.19473692424550687,0.19472517876620782,0.0015602034220605634,10.517778396606445,10.57972526550293,0.061946868896484375
7,0.1799998813205612,0.212661846235873,26743,scaling_l2,26743,17229,26743,7482,0.917574942111969,0.9857974052429199,0.19473692424550687,0.19472517876620782,0.0015602034220605634,0.13948862254619598,0.13852326571941376,-0.0009653568267822266
7,0.1799998813205612,0.212661846235873,26743,offset_l2,26743,17229,26743,7482,0.917574942111969,0.9857974052429199,0.19473692424550687,0.19472517876620782,0.0015602034220605634,10.24627685546875,10.330376625061035,0.08409976959228516
8,0.212661846235873,0.2727638283363222,26721,feature_cosine,26721,17506,26721,6181,0.9052570462226868,0.981404721736908,0.2392838334528243,0.23923249144205436,0.0015855390537655712,0.35036465525627136,0.3423111140727997,-0.00805354118347168
8,0.212661846235873,0.2727638283363222,26721,feature_l2,26721,17506,26721,6181,0.9052570462226868,0.981404721736908,0.2392838334528243,0.23923249144205436,0.0015855390537655712,10.121604919433594,10.165722846984863,0.04411792755126953
8,0.212661846235873,0.2727638283363222,26721,scaling_l2,26721,17506,26721,6181,0.9052570462226868,0.981404721736908,0.2392838334528243,0.23923249144205436,0.0015855390537655712,0.17499826848506927,0.17318972945213318,-0.0018085390329360962
8,0.212661846235873,0.2727638283363222,26721,offset_l2,26721,17506,26721,6181,0.9052570462226868,0.981404721736908,0.2392838334528243,0.23923249144205436,0.0015855390537655712,10.183098793029785,10.235257148742676,0.052158355712890625
9,0.2727638283363222,81.24106128792154,26721,feature_cosine,26721,18395,26721,4502,0.8390626907348633,0.9451842904090881,0.49875817702406355,0.4987470205352106,0.001616139609577436,0.3486102521419525,0.34142327308654785,-0.007186979055404663
9,0.2727638283363222,81.24106128792154,26721,feature_l2,26721,18395,26721,4502,0.8390626907348633,0.9451842904090881,0.49875817702406355,0.4987470205352106,0.001616139609577436,10.069733619689941,10.137323379516602,0.06758975982666016
9,0.2727638283363222,81.24106128792154,26721,scaling_l2,26721,18395,26721,4502,0.8390626907348633,0.9451842904090881,0.49875817702406355,0.4987470205352106,0.001616139609577436,0.35421332716941833,0.3496479392051697,-0.004565387964248657
9,0.2727638283363222,81.24106128792154,26721,offset_l2,26721,18395,26721,4502,0.8390626907348633,0.9451842904090881,0.49875817702406355,0.4987470205352106,0.001616139609577436,10.832818984985352,10.791642189025879,-0.041176795959472656
