distance_bin,distance_min,distance_max,pair_count,metric,count,pearson,spearman
0,0.004999637603759766,0.05873670041940201,127983,feature_cosine,127983,0.02731228619813919,0.03608227659325473
0,0.004999637603759766,0.05873670041940201,127983,feature_l2,127983,-0.014490335248410702,-0.024273509322293274
0,0.004999637603759766,0.05873670041940201,127983,scaling_l2,127983,-0.02468406781554222,-0.021292544506745798
0,0.004999637603759766,0.05873670041940201,127983,offset_l2,127983,-0.011655231937766075,-0.013211708081326427
1,0.05873670041940201,0.08411306654257075,128012,feature_cosine,128012,-0.003287628060206771,0.006722954044016706
1,0.05873670041940201,0.08411306654257075,128012,feature_l2,128012,0.012555224820971489,0.003322337744032732
1,0.05873670041940201,0.08411306654257075,128012,scaling_l2,128012,-0.010550189763307571,-0.004109620566507187
1,0.05873670041940201,0.08411306654257075,128012,offset_l2,128012,0.0040951925329864025,0.0007377038159773363
2,0.08411306654257075,0.10511898202323604,128000,feature_cosine,128000,-0.0005419924855232239,0.005470175940442362
2,0.08411306654257075,0.10511898202323604,128000,feature_l2,128000,0.015152784064412117,0.008383605662533898
2,0.08411306654257075,0.10511898202323604,128000,scaling_l2,128000,-0.017301352694630623,-0.006543188478808313
2,0.08411306654257075,0.10511898202323604,128000,offset_l2,128000,-0.0023654834367334843,-0.005389921706840304
3,0.10511898202323604,0.12359204024692351,128005,feature_cosine,128005,-0.004340400453656912,0.003237797133984975
3,0.10511898202323604,0.12359204024692351,128005,feature_l2,128005,0.022813541814684868,0.01475726550793713
3,0.10511898202323604,0.12359204024692351,128005,scaling_l2,128005,-0.02398703247308731,-0.013625758630421847
3,0.10511898202323604,0.12359204024692351,128005,offset_l2,128005,-0.0014546388993039727,-0.004894478083051754
4,0.12359204024692351,0.14326579947729962,128000,feature_cosine,128000,-0.012502877041697502,-0.006029760052307472
4,0.12359204024692351,0.14326579947729962,128000,feature_l2,128000,0.031644899398088455,0.02555248048982442
4,0.12359204024692351,0.14326579947729962,128000,scaling_l2,128000,-0.02571777068078518,-0.020592066323304535
4,0.12359204024692351,0.14326579947729962,128000,offset_l2,128000,-0.010416658595204353,-0.011050692856736226
5,0.14326579947729962,0.1661324443943163,127999,feature_cosine,127999,-0.010166033171117306,-0.00420359605965411
5,0.14326579947729962,0.1661324443943163,127999,feature_l2,127999,0.033697545528411865,0.030690504537514426
5,0.14326579947729962,0.1661324443943163,127999,scaling_l2,127999,-0.021720152348279953,-0.02137992615535892
5,0.14326579947729962,0.1661324443943163,127999,offset_l2,127999,-0.006422664504498243,-0.007119838836564525
6,0.1661324443943163,0.19532020276720455,128001,feature_cosine,128001,-0.013789616525173187,-0.007502444032073144
6,0.1661324443943163,0.19532020276720455,128001,feature_l2,128001,0.028761347755789757,0.027250791140552674
6,0.1661324443943163,0.19532020276720455,128001,scaling_l2,128001,-0.011776948347687721,-0.011831640108041237
6,0.1661324443943163,0.19532020276720455,128001,offset_l2,128001,-0.00919849518686533,-0.012137226167216882
7,0.19532020276720455,0.23764478055770272,128000,feature_cosine,128000,-0.0194554440677166,-0.007753196717586997
7,0.19532020276720455,0.23764478055770272,128000,feature_l2,128000,0.014912355691194534,0.01323029335870232
7,0.19532020276720455,0.23764478055770272,128000,scaling_l2,128000,-0.006939864717423916,-0.0035079961927000987
7,0.19532020276720455,0.23764478055770272,128000,offset_l2,128000,-0.008511550724506378,-0.011183678223359864
8,0.23764478055770272,0.32916553207501154,128000,feature_cosine,128000,-0.03513399139046669,-0.020344666835080964
8,0.23764478055770272,0.32916553207501154,128000,feature_l2,128000,0.004639061633497477,0.010267661161957226
8,0.23764478055770272,0.32916553207501154,128000,scaling_l2,128000,-0.02577129751443863,-0.03217207731714302
8,0.23764478055770272,0.32916553207501154,128000,offset_l2,128000,-0.00497378408908844,-0.008201597852764773
9,0.32916553207501154,81.25613969714364,128000,feature_cosine,128000,0.016840945929288864,0.012755437966710352
9,0.32916553207501154,81.25613969714364,128000,feature_l2,128000,-0.012563198804855347,0.014208553056399462
9,0.32916553207501154,81.25613969714364,128000,scaling_l2,128000,-0.20977702736854553,-0.20462070311383102
9,0.32916553207501154,81.25613969714364,128000,offset_l2,128000,-0.10426924377679825,-0.08308927961572926
