score_type,distance_bin,distance_min,distance_max,pair_count,metric,low_count,low_unique_count,high_count,source_anchor_count,low_coview_mean,high_coview_mean,low_distance_mean,high_distance_mean,mean_absolute_distance_mismatch,low_metric_mean,high_metric_mean,high_minus_low
binary_jaccard,0,0.004123168192906589,0.04319713678282911,10492,feature_cosine,10492,7055,10492,2867,0.9764957427978516,0.9961872696876526,0.03388732702669031,0.03386190812631382,0.00041763420389292246,0.2587904632091522,0.26986750960350037,0.011077046394348145
binary_jaccard,0,0.004123168192906589,0.04319713678282911,10492,feature_l2,10492,7055,10492,2867,0.9764957427978516,0.9961872696876526,0.03388732702669031,0.03386190812631382,0.00041763420389292246,11.301363945007324,11.267285346984863,-0.03407859802246094
binary_jaccard,0,0.004123168192906589,0.04319713678282911,10492,scaling_l2,10492,7055,10492,2867,0.9764957427978516,0.9961872696876526,0.03388732702669031,0.03386190812631382,0.00041763420389292246,0.026970913633704185,0.026345111429691315,-0.0006258022040128708
binary_jaccard,0,0.004123168192906589,0.04319713678282911,10492,offset_l2,10492,7055,10492,2867,0.9764957427978516,0.9961872696876526,0.03388732702669031,0.03386190812631382,0.00041763420389292246,6.703775882720947,6.6758036613464355,-0.02797222137451172
binary_jaccard,1,0.04319713678282911,0.05436009516305885,10492,feature_cosine,10492,7583,10492,3944,0.9700143337249756,0.9946214556694031,0.04901888509599269,0.04900295556417893,0.0004042981856859666,0.2701825797557831,0.27194663882255554,0.001764059066772461
binary_jaccard,1,0.04319713678282911,0.05436009516305885,10492,feature_l2,10492,7583,10492,3944,0.9700143337249756,0.9946214556694031,0.04901888509599269,0.04900295556417893,0.0004042981856859666,11.07537841796875,11.097155570983887,0.02177715301513672
binary_jaccard,1,0.04319713678282911,0.05436009516305885,10492,scaling_l2,10492,7583,10492,3944,0.9700143337249756,0.9946214556694031,0.04901888509599269,0.04900295556417893,0.0004042981856859666,0.03210282698273659,0.03146752342581749,-0.0006353035569190979
binary_jaccard,1,0.04319713678282911,0.05436009516305885,10492,offset_l2,10492,7583,10492,3944,0.9700143337249756,0.9946214556694031,0.04901888509599269,0.04900295556417893,0.0004042981856859666,6.702892780303955,6.679876804351807,-0.023015975952148438
binary_jaccard,2,0.05436009516305885,0.06401558643794983,10492,feature_cosine,10492,7773,10492,4487,0.9637041091918945,0.9931314587593079,0.0592624130253922,0.0592437193938276,0.00040991965160908593,0.2790038585662842,0.2842080891132355,0.005204230546951294
binary_jaccard,2,0.05436009516305885,0.06401558643794983,10492,feature_l2,10492,7773,10492,4487,0.9637041091918945,0.9931314587593079,0.0592624130253922,0.0592437193938276,0.00040991965160908593,10.929113388061523,10.873058319091797,-0.05605506896972656
binary_jaccard,2,0.05436009516305885,0.06401558643794983,10492,scaling_l2,10492,7773,10492,4487,0.9637041091918945,0.9931314587593079,0.0592624130253922,0.0592437193938276,0.00040991965160908593,0.034377627074718475,0.034289754927158356,-8.787214756011963e-05
binary_jaccard,2,0.05436009516305885,0.06401558643794983,10492,offset_l2,10492,7773,10492,4487,0.9637041091918945,0.9931314587593079,0.0592624130253922,0.0592437193938276,0.00040991965160908593,6.731155872344971,6.6476216316223145,-0.08353424072265625
binary_jaccard,3,0.06401558643794983,0.07279425254390333,10492,feature_cosine,10492,7988,10492,4791,0.956900954246521,0.9916264414787292,0.06837948882195818,0.06836639821961377,0.0004035752815768553,0.28741100430488586,0.2837487459182739,-0.0036622583866119385
binary_jaccard,3,0.06401558643794983,0.07279425254390333,10492,feature_l2,10492,7988,10492,4791,0.956900954246521,0.9916264414787292,0.06837948882195818,0.06836639821961377,0.0004035752815768553,10.790762901306152,10.84511947631836,0.05435657501220703
binary_jaccard,3,0.06401558643794983,0.07279425254390333,10492,scaling_l2,10492,7988,10492,4791,0.956900954246521,0.9916264414787292,0.06837948882195818,0.06836639821961377,0.0004035752815768553,0.03705580160021782,0.03755465894937515,0.0004988573491573334
