score_type,distance_bin,distance_min,distance_max,pair_count,metric,count,pearson,spearman
binary_jaccard,0,0.004999637603759766,0.05873670041940201,127983,feature_cosine,127983,0.02731228619813919,0.03608227659325473
binary_jaccard,0,0.004999637603759766,0.05873670041940201,127983,feature_l2,127983,-0.014490335248410702,-0.024273509322293274
binary_jaccard,0,0.004999637603759766,0.05873670041940201,127983,scaling_l2,127983,-0.02468406781554222,-0.021292544506745798
binary_jaccard,0,0.004999637603759766,0.05873670041940201,127983,offset_l2,127983,-0.011655231937766075,-0.013211708081326427
binary_jaccard,1,0.05873670041940201,0.08411306654257075,128012,feature_cosine,128012,-0.003287628060206771,0.006722954044016706
binary_jaccard,1,0.05873670041940201,0.08411306654257075,128012,feature_l2,128012,0.012555224820971489,0.003322337744032732
binary_jaccard,1,0.05873670041940201,0.08411306654257075,128012,scaling_l2,128012,-0.010550189763307571,-0.004109620566507187
binary_jaccard,1,0.05873670041940201,0.08411306654257075,128012,offset_l2,128012,0.0040951925329864025,0.0007377038159773363
binary_jaccard,2,0.08411306654257075,0.10511898202323604,128000,feature_cosine,128000,-0.0005419924855232239,0.005470175940442362
binary_jaccard,2,0.08411306654257075,0.10511898202323604,128000,feature_l2,128000,0.015152784064412117,0.008383605662533898
binary_jaccard,2,0.08411306654257075,0.10511898202323604,128000,scaling_l2,128000,-0.017301352694630623,-0.006543188478808313
binary_jaccard,2,0.08411306654257075,0.10511898202323604,128000,offset_l2,128000,-0.0023654834367334843,-0.005389921706840304
binary_jaccard,3,0.10511898202323604,0.12359204024692351,128005,feature_cosine,128005,-0.004340400453656912,0.003237797133984975
binary_jaccard,3,0.10511898202323604,0.12359204024692351,128005,feature_l2,128005,0.022813541814684868,0.01475726550793713
binary_jaccard,3,0.10511898202323604,0.12359204024692351,128005,scaling_l2,128005,-0.02398703247308731,-0.013625758630421847
binary_jaccard,3,0.10511898202323604,0.12359204024692351,128005,offset_l2,128005,-0.0014546388993039727,-0.004894478083051754
binary_jaccard,4,0.12359204024692351,0.14326579947729962,128000,feature_cosine,128000,-0.012502877041697502,-0.006029760052307472
binary_jaccard,4,0.12359204024692351,0.14326579947729962,128000,feature_l2,128000,0.031644899398088455,0.02555248048982442
binary_jaccard,4,0.12359204024692351,0.14326579947729962,128000,scaling_l2,128000,-0.02571777068078518,-0.020592066323304535
binary_jaccard,4,0.12359204024692351,0.14326579947729962,128000,offset_l2,128000,-0.010416658595204353,-0.011050692856736226
binary_jaccard,5,0.14326579947729962,0.1661324443943163,127999,feature_cosine,127999,-0.010166033171117306,-0.00420359605965411
binary_jaccard,5,0.14326579947729962,0.1661324443943163,127999,feature_l2,127999,0.033697545528411865,0.030690504537514426
binary_jaccard,5,0.14326579947729962,0.1661324443943163,127999,scaling_l2,127999,-0.021720152348279953,-0.02137992615535892
binary_jaccard,5,0.14326579947729962,0.1661324443943163,127999,offset_l2,127999,-0.006422664504498243,-0.007119838836564525
binary_jaccard,6,0.1661324443943163,0.19532020276720455,128001,feature_cosine,128001,-0.013789616525173187,-0.007502444032073144
binary_jaccard,6,0.1661324443943163,0.19532020276720455,128001,feature_l2,128001,0.028761347755789757,0.027250791140552674
binary_jaccard,6,0.1661324443943163,0.19532020276720455,128001,scaling_l2,128001,-0.011776948347687721,-0.011831640108041237
binary_jaccard,6,0.1661324443943163,0.19532020276720455,128001,offset_l2,128001,-0.00919849518686533,-0.012137226167216882
binary_jaccard,7,0.19532020276720455,0.23764478055770272,128000,feature_cosine,128000,-0.0194554440677166,-0.007753196717586997
binary_jaccard,7,0.19532020276720455,0.23764478055770272,128000,feature_l2,128000,0.014912355691194534,0.01323029335870232
binary_jaccard,7,0.19532020276720455,0.23764478055770272,128000,scaling_l2,128000,-0.006939864717423916,-0.0035079961927000987
binary_jaccard,7,0.19532020276720455,0.23764478055770272,128000,offset_l2,128000,-0.008511550724506378,-0.011183678223359864
binary_jaccard,8,0.23764478055770272,0.32916553207501154,128000,feature_cosine,128000,-0.03513399139046669,-0.020344666835080964
binary_jaccard,8,0.23764478055770272,0.32916553207501154,128000,feature_l2,128000,0.004639061633497477,0.010267661161957226
binary_jaccard,8,0.23764478055770272,0.32916553207501154,128000,scaling_l2,128000,-0.02577129751443863,-0.03217207731714302
binary_jaccard,8,0.23764478055770272,0.32916553207501154,128000,offset_l2,128000,-0.00497378408908844,-0.008201597852764773
binary_jaccard,9,0.32916553207501154,81.25613969714364,128000,feature_cosine,128000,0.016840945929288864,0.012755437966710352
binary_jaccard,9,0.32916553207501154,81.25613969714364,128000,feature_l2,128000,-0.012563198804855347,0.014208553056399462
binary_jaccard,9,0.32916553207501154,81.25613969714364,128000,scaling_l2,128000,-0.20977702736854553,-0.20462070311383102
binary_jaccard,9,0.32916553207501154,81.25613969714364,128000,offset_l2,128000,-0.10426924377679825,-0.08308927961572926
geometric_distance,0,0.004999637603759766,0.05873670041940201,127983,feature_cosine,127983,0.11926968395709991,0.12917638075343663
geometric_distance,0,0.004999637603759766,0.05873670041940201,127983,feature_l2,127983,-0.08604732900857925,-0.09255184329459325
geometric_distance,0,0.004999637603759766,0.05873670041940201,127983,scaling_l2,127983,-0.025545649230480194,-0.05931929298244506
geometric_distance,0,0.004999637603759766,0.05873670041940201,127983,offset_l2,127983,-0.059204403311014175,-0.06367907577827808
geometric_distance,1,0.05873670041940201,0.08411306654257075,128012,feature_cosine,128012,0.05356821045279503,0.0588537222886795
geometric_distance,1,0.05873670041940201,0.08411306654257075,128012,feature_l2,128012,-0.020901089534163475,-0.023230389944601887
geometric_distance,1,0.05873670041940201,0.08411306654257075,128012,scaling_l2,128012,-0.016191506758332253,-0.05261615767743472
geometric_distance,1,0.05873670041940201,0.08411306654257075,128012,offset_l2,128012,-0.03857593983411789,-0.04499420539128557
geometric_distance,2,0.08411306654257075,0.10511898202323604,128000,feature_cosine,128000,0.0565757229924202,0.05800948913616981
geometric_distance,2,0.08411306654257075,0.10511898202323604,128000,feature_l2,128000,-0.020464565604925156,-0.021889441861289615
geometric_distance,2,0.08411306654257075,0.10511898202323604,128000,scaling_l2,128000,-0.023700198158621788,-0.054173311137472736
geometric_distance,2,0.08411306654257075,0.10511898202323604,128000,offset_l2,128000,-0.04336939752101898,-0.04784139702058128
geometric_distance,3,0.10511898202323604,0.12359204024692351,128005,feature_cosine,128005,0.048465579748153687,0.050683303952291425
geometric_distance,3,0.10511898202323604,0.12359204024692351,128005,feature_l2,128005,-0.012058954685926437,-0.012064730961076025
geometric_distance,3,0.10511898202323604,0.12359204024692351,128005,scaling_l2,128005,-0.02991325780749321,-0.07264429320767021
geometric_distance,3,0.10511898202323604,0.12359204024692351,128005,offset_l2,128005,-0.02942780591547489,-0.03691454858590028
geometric_distance,4,0.12359204024692351,0.14326579947729962,128000,feature_cosine,128000,0.041460487991571426,0.043069152543774664
geometric_distance,4,0.12359204024692351,0.14326579947729962,128000,feature_l2,128000,0.005618277005851269,0.003986773360632353
geometric_distance,4,0.12359204024692351,0.14326579947729962,128000,scaling_l2,128000,-0.03914977237582207,-0.09941407856501151
geometric_distance,4,0.12359204024692351,0.14326579947729962,128000,offset_l2,128000,-0.02913721092045307,-0.03487293009189023
geometric_distance,5,0.14326579947729962,0.1661324443943163,127999,feature_cosine,127999,0.04466530680656433,0.0458808815684182
geometric_distance,5,0.14326579947729962,0.1661324443943163,127999,feature_l2,127999,-0.013695385307073593,-0.013237344617660289
geometric_distance,5,0.14326579947729962,0.1661324443943163,127999,scaling_l2,127999,-0.024075087159872055,-0.0780032478473426
geometric_distance,5,0.14326579947729962,0.1661324443943163,127999,offset_l2,127999,-0.018354332074522972,-0.024031578794078638
geometric_distance,6,0.1661324443943163,0.19532020276720455,128001,feature_cosine,128001,0.04482336714863777,0.04857954213305295
geometric_distance,6,0.1661324443943163,0.19532020276720455,128001,feature_l2,128001,-0.03500429540872574,-0.03459959818409722
geometric_distance,6,0.1661324443943163,0.19532020276720455,128001,scaling_l2,128001,-0.0036298781633377075,-0.05564552661150913
geometric_distance,6,0.1661324443943163,0.19532020276720455,128001,offset_l2,128001,-0.003126287367194891,-0.010909584371280152
geometric_distance,7,0.19532020276720455,0.23764478055770272,128000,feature_cosine,128000,0.06544429808855057,0.07202684694460312
geometric_distance,7,0.19532020276720455,0.23764478055770272,128000,feature_l2,128000,-0.06441058963537216,-0.06645042423633123
geometric_distance,7,0.19532020276720455,0.23764478055770272,128000,scaling_l2,128000,-0.007400864269584417,-0.056304916040104215
geometric_distance,7,0.19532020276720455,0.23764478055770272,128000,offset_l2,128000,-0.012327977456152439,-0.018650471544812416
geometric_distance,8,0.23764478055770272,0.32916553207501154,128000,feature_cosine,128000,0.03569863736629486,0.04493157472117688
geometric_distance,8,0.23764478055770272,0.32916553207501154,128000,feature_l2,128000,-0.08038975298404694,-0.08247719166911949
geometric_distance,8,0.23764478055770272,0.32916553207501154,128000,scaling_l2,128000,-0.032750148326158524,-0.05155162750130488
geometric_distance,8,0.23764478055770272,0.32916553207501154,128000,offset_l2,128000,-0.04168979451060295,-0.052281587766718304
geometric_distance,9,0.32916553207501154,81.25613969714364,128000,feature_cosine,128000,0.07686972618103027,0.037271557819549314
geometric_distance,9,0.32916553207501154,81.25613969714364,128000,feature_l2,128000,-0.047399334609508514,-0.03186592074549518
geometric_distance,9,0.32916553207501154,81.25613969714364,128000,scaling_l2,128000,-0.46256470680236816,-0.25003245786325107
geometric_distance,9,0.32916553207501154,81.25613969714364,128000,offset_l2,128000,-0.11572340875864029,-0.14847521880931844
geometric_direction,0,0.004999637603759766,0.05873670041940201,127983,feature_cosine,127983,0.142703577876091,0.14978183211289894
geometric_direction,0,0.004999637603759766,0.05873670041940201,127983,feature_l2,127983,-0.1231527104973793,-0.1317065192066988
geometric_direction,0,0.004999637603759766,0.05873670041940201,127983,scaling_l2,127983,0.025870073586702347,-0.005700979805084705
geometric_direction,0,0.004999637603759766,0.05873670041940201,127983,offset_l2,127983,-0.06350674480199814,-0.06374806980685237
geometric_direction,1,0.05873670041940201,0.08411306654257075,128012,feature_cosine,128012,0.06251924484968185,0.05636429120942963
geometric_direction,1,0.05873670041940201,0.08411306654257075,128012,feature_l2,128012,-0.05106643587350845,-0.04967524569045993
geometric_direction,1,0.05873670041940201,0.08411306654257075,128012,scaling_l2,128012,0.08430452644824982,0.0934381473522385
geometric_direction,1,0.05873670041940201,0.08411306654257075,128012,offset_l2,128012,-0.03883901610970497,-0.0454978435575744
geometric_direction,2,0.08411306654257075,0.10511898202323604,128000,feature_cosine,128000,0.0434940829873085,0.03744144840839905
geometric_direction,2,0.08411306654257075,0.10511898202323604,128000,feature_l2,128000,-0.021302005276083946,-0.020163610752765203
geometric_direction,2,0.08411306654257075,0.10511898202323604,128000,scaling_l2,128000,0.08849359303712845,0.0939572685470117
geometric_direction,2,0.08411306654257075,0.10511898202323604,128000,offset_l2,128000,-0.03786821663379669,-0.046211798332970004
geometric_direction,3,0.10511898202323604,0.12359204024692351,128005,feature_cosine,128005,0.03247528895735741,0.024207732529660853
geometric_direction,3,0.10511898202323604,0.12359204024692351,128005,feature_l2,128005,-0.01160467229783535,-0.007591730708185685
geometric_direction,3,0.10511898202323604,0.12359204024692351,128005,scaling_l2,128005,0.07608318328857422,0.06813140826627964
geometric_direction,3,0.10511898202323604,0.12359204024692351,128005,offset_l2,128005,-0.03287260979413986,-0.04212155150393148
geometric_direction,4,0.12359204024692351,0.14326579947729962,128000,feature_cosine,128000,0.006550852674990892,-0.004250277508912362
geometric_direction,4,0.12359204024692351,0.14326579947729962,128000,feature_l2,128000,0.025240810588002205,0.03349613179778863
geometric_direction,4,0.12359204024692351,0.14326579947729962,128000,scaling_l2,128000,0.04836362227797508,0.0178334425108243
geometric_direction,4,0.12359204024692351,0.14326579947729962,128000,offset_l2,128000,-0.030697152018547058,-0.038686766460659355
geometric_direction,5,0.14326579947729962,0.1661324443943163,127999,feature_cosine,127999,-0.0030915241222828627,-0.011621682507430705
geometric_direction,5,0.14326579947729962,0.1661324443943163,127999,feature_l2,127999,0.03705033287405968,0.04177353447819807
geometric_direction,5,0.14326579947729962,0.1661324443943163,127999,scaling_l2,127999,0.05633803829550743,0.02337192237604019
geometric_direction,5,0.14326579947729962,0.1661324443943163,127999,offset_l2,127999,-0.0203784741461277,-0.026106477335679047
geometric_direction,6,0.1661324443943163,0.19532020276720455,128001,feature_cosine,128001,-0.008716546930372715,-0.01185197653986724
geometric_direction,6,0.1661324443943163,0.19532020276720455,128001,feature_l2,128001,0.028937017545104027,0.032293860697008826
geometric_direction,6,0.1661324443943163,0.19532020276720455,128001,scaling_l2,128001,0.07159596681594849,0.04839363826210702
geometric_direction,6,0.1661324443943163,0.19532020276720455,128001,offset_l2,128001,-0.014806510880589485,-0.019731493683302133
geometric_direction,7,0.19532020276720455,0.23764478055770272,128000,feature_cosine,128000,-0.02130117267370224,-0.027436483500384745
geometric_direction,7,0.19532020276720455,0.23764478055770272,128000,feature_l2,128000,0.030239447951316833,0.035841328713292465
geometric_direction,7,0.19532020276720455,0.23764478055770272,128000,scaling_l2,128000,0.07652376592159271,0.06167660475504422
geometric_direction,7,0.19532020276720455,0.23764478055770272,128000,offset_l2,128000,0.002949019894003868,-0.004394448546351224
geometric_direction,8,0.23764478055770272,0.32916553207501154,128000,feature_cosine,128000,-0.03280273824930191,-0.030559145500199027
geometric_direction,8,0.23764478055770272,0.32916553207501154,128000,feature_l2,128000,-0.021411146968603134,-0.015539356658485297
geometric_direction,8,0.23764478055770272,0.32916553207501154,128000,scaling_l2,128000,0.05226651579141617,0.015044587851282926
geometric_direction,8,0.23764478055770272,0.32916553207501154,128000,offset_l2,128000,0.01397167518734932,0.007813170405261185
